Search Criteria:,"   Search in: Projects     AdminIC: All, FOA: RM17-025,RM17-027,RM18-001,RM19-002,RM20-001,RM20-002, Exclude Subprojects: Yes.   Fiscal Year: All Fiscal Years  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,3-Dimensional;Adopted;Adoption;Aging;Antibodies;Aorta;Area;Atlases;Automation;Bar Codes;base;Biomedical Engineering;Cardiac;Cardiovascular system;Cells;Communities;Computer Analysis;cost;Data;Data Set;Databases;Development;Devices;Discrimination;Disease;DNA;Embryo;Environment;extracellular;Extracellular Matrix;Extracellular Matrix Proteins;Fluorescent in Situ Hybridization;Formalin;Freezing;Generations;Genes;genome-wide;Genomic approach;Glass;Head;Health;Heart;high throughput technology;Histology;Human;Human BioMolecular Atlas Program;Human body;human data;human tissue;Image;improved;In Situ;Individual;Injections;interest;Kidney;Longevity;Manuals;Measurement;Messenger RNA;Methods;Microfluidics;Molecular;molecular imaging;monolayer;Morphology;Motivation;multiple omics;Mus;Nature;next generation sequencing;novel;novel strategies;Organ;Organogenesis;Paraffin Embedding;paraform;Phase;Physiology;Preparation;Procedures;Process;process optimization;Proteins;Proteome;Protocols documentation;Public Health;Research;Research Personnel;Resolution;rheumatologist;RNA;Role;Sampling;scale up;single molecule;single-cell RNA sequencing;Skin;Slide;Solid;Specimen;Spottings;Surgeon;synergism;System;Technology;Tissue Embedding;Tissue imaging;tissue mosaicism;Tissue Sample;Tissues;transcriptome;transcriptome sequencing;transcriptomics;Validation;Variant;,High-spatial-resolution ECM-inclusive multi-omics sequencing of human PFA and FFPE tissue slides,"PROJECT NARRATIVE This project aims to develop a transformative technology for high-throughput, high-spatial-resolution, and high- content co-mapping of transcriptome and proteome in human PFA or FFPE tissue samples prepared using standard tissue histology process. It can be applied to a wide range of human tissues to generate the reference biomolecular atlas of human tissues and organs rapidly and cost-effectively. It will improve our understanding of aging or disease development throughput the life span and the health-disease continuum in the areas of significant public health interest.",NCI,10127032,10-SEP-2020,RFA-RM-20-001,1UG3CA257393-01,1,UG3,CA,257393,01,,"SRINIVAS, POTHUR R",10-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-IMST-M (50)R),,9372328,"FAN, RONG ",Not Applicable,03,ENGINEERING (ALL TYPES),043207562,US,41.303164,-72.931644,9420201,YALE UNIVERSITY,NEW HAVEN,CT,SCHOOLS OF ENGINEERING,06520-8327,UNITED STATES, ,10-SEP-2020,31-AUG-2021,310,Research Projects,2020,OD,238806,161194,400000,
Bioengineering;Data Science;Networking and Information Technology R&D (NITRD),Atlases;base;Bioinformatics;biomedical informatics;Biomedical Research;Cells;cloud based;Cognitive;Collaborations;Communication;Communities;Data;Data Analyses;Data Provenance;data quality;Data Set;data space;data visualization;data warehouse;design;Disease;experience;experimental study;FAIR principles;Funding;Generations;genomic data;Goals;Health;Human;Image;Individual;Knowledge;member;Metadata;Molecular;Monitor;Ontology;Organ;outreach;preservation;Process;programs;Proteomics;Reproducibility;Research;Research Personnel;Resources;Retrieval;stem cells;success;synergism;System;Text;The Cancer Genome Atlas;TimeLine;Tissues;tool;tool development;transcriptomics;United States National Institutes of Health;usability;Variant;Vision;Visual;Visualization software;Work;,HuBMAP HIVE Tools Component,"PROJECT NARRATIVE To gain a better understanding of variation in organ function that inﬂuences health and disease, it is critical to have access to an atlas of molecular tissue organization. We will contribute to the Human BioMolecular Atlas Program (HuBMAP) by developing tools for visualization and exploration of HuBMAP data. The proposed tools will align with the FAIR principles and maximize the beneﬁt of data sets generated by the consortium for researchers and the public.",OD,9988042,11-SEP-2019,RFA-RM-18-001,3OT2OD026677-01S2,3,OT2,OD,026677,01,S2,"BEST, TYLER KORY",21-JUN-2019,20-JUN-2020,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,10917418,"GEHLENBORG, NILS ",Not Applicable,07,MISCELLANEOUS,047006379,US,42.335814,-71.105033,3212902,HARVARD MEDICAL SCHOOL,BOSTON,MA,SCHOOLS OF MEDICINE,02115-6027,UNITED STATES, ,11-SEP-2019,20-JUN-2020,310,Others,2019,OD,29162,20268,49430,
Networking and Information Technology R&D,Atlases;base;Bioinformatics;biomedical informatics;Biomedical Research;Cells;cloud based;Cognitive;Collaborations;Communication;Communities;Data;Data Analyses;Data Provenance;data quality;Data Set;data space;data visualization;data warehouse;design;Disease;experience;experimental study;FAIR principles;Funding;Generations;genomic data;Goals;Health;Human;Image;Individual;Knowledge;member;Metadata;Molecular;Monitor;Ontology;Organ;outreach;Process;programs;Proteomics;Reproducibility;Research;Research Personnel;Resources;Retrieval;stem cells;success;synergism;System;Text;The Cancer Genome Atlas;TimeLine;Tissues;tool;tool development;transcriptomics;United States National Institutes of Health;usability;Variant;Vision;Visual;Visualization software;Work;,HuBMAP HIVE Tools Component,"PROJECT NARRATIVE To gain a better understanding of variation in organ function that inﬂuences health and disease, it is critical to have access to an atlas of molecular tissue organization. We will contribute to the Human BioMolecular Atlas Program (HuBMAP) by developing tools for visualization and exploration of HuBMAP data. The proposed tools will align with the FAIR principles and maximize the beneﬁt of data sets generated by the consortium for researchers and the public.",OD,9687370,21-SEP-2018,RFA-RM-18-001,1OT2OD026677-01,1,OT2,OD,026677,01,,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,10917418,"GEHLENBORG, NILS ",Not Applicable,07,MISCELLANEOUS,047006379,US,42.335814,-71.105033,3212902,HARVARD MEDICAL SCHOOL,BOSTON,MA,SCHOOLS OF MEDICINE,02115-6027,UNITED STATES, ,21-SEP-2018,20-JUN-2021,310,Others,2018,OD,176949,122980,299929,
No NIH Category available.,3-Dimensional;Address;Age;age effect;age group;Aging;Algorithmic Analysis;Algorithmic Software;Algorithms;analysis pipeline;Architecture;Area;Artificial Intelligence;Atlases;Back;Biological Markers;Biopsy;California;Cells;Cellular biology;Chemistry;Clinical;Collaborations;Computer software;Coupled;Data;Data Collection;data integration;data visualization;Disease;Environment;Environmental Risk Factor;experience;Exposure to;extracellular;Extracellular Matrix;Funding;Generations;Genome;Goals;Government;high dimensionality;Human BioMolecular Atlas Program;Human body;Image;Image Analysis;image visualization;imaging platform;imaging Segmentation;Imaging technology;Individual;innovation;Institutes;Lead;Link;Location;Machine Learning;Maps;Measures;member;Methods;Modeling;Molecular;Molecular Structure;multidimensional data;multidisciplinary;Multiomic Data;multiple omics;multiplexed imaging;multiscale data;Normal tissue morphology;open source;Optics;Organ;Organ Model;Outcome;Pathogenicity;programs;Proteomics;reconstruction;Recording of previous events;Research;Resolution;RNA;sample collection;Sampling;single cell analysis;Skin;Skin Aging;Skin Tissue;software development;Software Tools;Solid;task analysis;Technology;Three-Dimensional Image;three-dimensional visualization;TimeLine;Tissue imaging;Tissue Sample;Tissues;tomography;tool;Traction;United States National Institutes of Health;Universities;UV Radiation Exposure;Visualization;Work;,Multi-Scale 3-D Image Analytics for High Dimensional Spatial Mapping of Normal Tissues,"PROJECT NARRATIVE Composition and organization of cells and the extracellular matrix (ECM) they are embedded in, controls the function of different organs in human body. Alterations in any of these can lead to onset and progression of var- ious diseases. The proposed project will develop image analytics algorithms and open source software for high- resolution 3-D mapping of skin, the largest organ in the human body, and evaluate molecular and architectural changes due to aging and UV exposure.",NCI,10246250,1-SEP-2020,RFA-RM-19-002,5UH3CA246594-02,5,UH3,CA,246594,02,,"LI, JERRY",15-SEP-2019,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (70)R),,9094327,"GINTY, FIONA ",Not Applicable,20,Unavailable,086188401,US,42.795256,-73.867183,685602,GENERAL ELECTRIC GLOBAL RESEARCH CTR,NISKAYUNA,NY,Domestic For-Profits,12309-1027,UNITED STATES, ,1-SEP-2020,31-AUG-2021,310,Research Projects,2020,OD,429523,320477,750000,
No NIH Category available.,3-Dimensional;Adopted;Adoption;Anatomy;Antibodies;aqueous;Atlases;base;Benchmarking;Biology;Biomedical Research;Bypass;cell type;Cells;Collaborations;cost;Data;data acquisition;design;Detection;Development;Disease;Energy Transfer;Equipment and supply inventories;Fluorescence;fluorescence imaging;Fluorescence Microscopy;fluorophore;Genomics;Hour;Human;human tissue;Image;Imaging technology;In Situ;Individual;Label;Lanthanoid Series Elements;Libraries;Ligands;Light;Liver;Logic;luminescence;Lung;Maps;Marriage;mass spectrometer;Mass Spectrum Analysis;Microscope;microscopic imaging;millimeter;Molecular;Molecular Analysis;molecular imaging;Mus;new technology;next generation;Noise;novel;Oligonucleotides;Optics;Organ;passive transport;Pattern;Penetration;Performance;Physiological;Positioning Attribute;Property;Reagent;receptor;reconstruction;Research;Research Personnel;Resolution;Scientist;Sensitivity and Specificity;serial imaging;Signal Transduction;single cell sequencing;Stains;Structure;Techniques;Technology;Testing;Thick;Tissue Sample;Tissues;tool;,Next-Generation Genomic Imaging Technology,PROJECT NARRATIVE Our research focuses on making it possible to efficiently analyze individual cells in intact human tissues. This capability will be instrumental for understanding the 'logic' of how tissues function and will provide a healthy 'blueprint' against which to compare organs in states of disease.,NCI,10026446,1-JUL-2020,RFA-RM-17-025,4UH3CA255135-03,4,UH3,CA,255135,03,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2021,Special Emphasis Panel (ZRG1-IMST-H (50)R),,1880715,"HARBURY, PEHR A ","DESAI, TUSHAR JASUBHAI",18,BIOCHEMISTRY,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,1-JUL-2020,30-JUN-2021,310,Research Projects,2020,OD,250000,144748,394748,
Bioengineering;Biomedical Imaging;Biotechnology;Genetics;Human Genome,3-Dimensional;Adopted;Adoption;Anatomy;Antibodies;aqueous;Atlases;base;Benchmarking;Biology;Biomedical Research;Bypass;cell type;Cells;Collaborations;cost;Data;data acquisition;design;Detection;Development;Disease;Energy Transfer;Equipment and supply inventories;Fluorescence;fluorescence imaging;Fluorescence Microscopy;fluorophore;Genomics;Hour;Human;human tissue;Image;Imaging technology;In Situ;Individual;Label;Lanthanoid Series Elements;Libraries;Ligands;Light;Liver;Logic;luminescence;Lung;Maps;Marriage;mass spectrometer;Mass Spectrum Analysis;Microscope;microscopic imaging;millimeter;Molecular;Molecular Analysis;molecular imaging;Mus;new technology;next generation;Noise;novel;Oligonucleotides;Optics;Organ;passive transport;Pattern;Penetration;Performance;Physiological;Positioning Attribute;Property;Reagent;receptor;reconstruction;Research;Research Personnel;Resolution;Scientist;Sensitivity and Specificity;serial imaging;Signal Transduction;single cell sequencing;Stains;Structure;Techniques;Technology;Testing;Thick;Tissue Sample;Tissues;tool;,Next-Generation Genomic Imaging Technology,PROJECT NARRATIVE Our research focuses on making it possible to efficiently analyze individual cells in intact human tissues. This capability will be instrumental for understanding the 'logic' of how tissues function and will provide a healthy 'blueprint' against which to compare organs in states of disease.,NHLBI,9782994,23-JUL-2019,RFA-RM-17-025,5UG3HL145623-02,5,UG3,HL,145623,02,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,1880715,"HARBURY, PEHR A ","DESAI, TUSHAR JASUBHAI",18,BIOCHEMISTRY,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Projects,2019,OD,236853,143147,380000,
Bioengineering;Biomedical Imaging;Biotechnology;Genetics;Human Genome,Adopted;Adoption;Anatomy;Antibodies;aqueous;Atlases;base;Benchmarking;Biology;Biomedical Research;Bypass;cell type;Cells;Collaborations;cost;Data;data acquisition;design;Detection;Development;Disease;Energy Transfer;Equipment and supply inventories;Fluorescence;fluorescence imaging;Fluorescence Microscopy;fluorophore;Genomics;Hour;Human;human tissue;Image;Imaging technology;In Situ;Individual;Label;Lanthanoid Series Elements;Libraries;Ligands;Light;Liver;Logic;luminescence;Lung;Maps;Marriage;mass spectrometer;Mass Spectrum Analysis;Microscope;microscopic imaging;millimeter;Molecular;Molecular Analysis;molecular imaging;Mus;new technology;next generation;Noise;novel;Oligonucleotides;Optics;Organ;passive transport;Pattern;Penetration;Performance;Physiological;Positioning Attribute;Property;Reagent;receptor;reconstruction;Research;Research Personnel;Resolution;Scientist;Sensitivity and Specificity;serial imaging;Signal Transduction;single cell sequencing;Stains;Structure;Techniques;Technology;Testing;Thick;Tissue Sample;Tissues;tool;,Next-Generation Genomic Imaging Technology,PROJECT NARRATIVE Our research focuses on making it possible to efficiently analyze individual cells in intact human tissues. This capability will be instrumental for understanding the 'logic' of how tissues function and will provide a healthy 'blueprint' against which to compare organs in states of disease.,NHLBI,9660917,11-SEP-2018,RFA-RM-17-025,1UG3HL145623-01,1,UG3,HL,145623,01,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,1880715,"HARBURY, PEHR A ","DESAI, TUSHAR JASUBHAI",18,BIOCHEMISTRY,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,15-SEP-2018,30-JUN-2019,310,Research Projects,2018,OD,249756,130244,380000,
No NIH Category available.,Affinity;Antibodies;antibody libraries;Automation;Awareness;Bacteriophages;Bar Codes;Biological;cell type;Cells;Cellular Structures;Chemicals;Colon;Colorectal;Confocal Microscopy;Data;Development;DNA;Epithelial Cells;Escherichia coli;Fab Immunoglobulins;Fluorescent Probes;Grant;Health;Human;Human BioMolecular Atlas Program;Human body;human tissue;Image;imaging modality;Immunofluorescence Immunologic;Industrialization;Injections;interest;Laboratories;Maps;Mass Spectrum Analysis;Measurement;microscopic imaging;molecular recognition;Names;Outcome;overexpression;Phage Display;Phosphoserine;Phosphotyrosine;Post-Translational Protein Processing;Process;Proteins;Proteolysis;Proteomics;Reagent;Recombinant Antibody;Recombinants;Research Personnel;Resolution;Running;Site;Solid;Source;Spatial Distribution;Specific qualifier value;Specificity;stoichiometry;System;Technology;Threonine;Tissues;Ubiquitin;Validation;Work;,Renewable and Specific Affinity Reagents for Mapping Proteoforms in Human Tissues,"Narrative This activity focuses on measurements of the biologically active forms of proteins, complete with their post- translational modifications that decorate them in healthy human tissues. Renewable and highly validated reagents will be created and circulated into a Consortium of investigators to assist in mapping tissues in the human body with cellular and sub-cellular resolution.",NCI,10249071,9-SEP-2020,RFA-RM-19-002,5UH3CA246635-02,5,UH3,CA,246635,02,,"LI, JERRY",15-SEP-2019,31-AUG-2021,Special Emphasis Panel (ZRG1-BST-U (70)R),,1886884,"KELLEHER, NEIL L",Not Applicable,07,BIOCHEMISTRY,160079455,US,42.049695,-87.678657,6144601,NORTHWESTERN UNIVERSITY,Chicago,IL,SCHOOLS OF ARTS AND SCIENCES,60611-4579,UNITED STATES, ,1-SEP-2020,31-AUG-2021,310,Research Projects,2020,OD,253164,146836,400000,
Biotechnology,Affinity;Antibodies;antibody libraries;Automation;Awareness;Bacteriophages;Biological;cell type;Cells;Cellular Structures;Chemicals;Colon;Colorectal;Confocal Microscopy;Data;Development;DNA;Epithelial Cells;Escherichia coli;Fab Immunoglobulins;Fluorescent Probes;Grant;Health;Human;Human body;human tissue;Image;imaging modality;Immunofluorescence Immunologic;Industrialization;Injections;interest;Laboratories;Maps;Mass Spectrum Analysis;Measurement;microscopic imaging;molecular recognition;Names;Outcome;overexpression;Phage Display;Phosphoserine;Phosphotyrosine;Post-Translational Protein Processing;Process;Proteins;Proteolysis;Proteomics;Reagent;Recombinant Antibody;Recombinants;Research Personnel;Resolution;Running;Site;Solid;Source;Spatial Distribution;Specific qualifier value;Specificity;stoichiometry;System;Technology;Threonine;Tissues;Ubiquitin;Validation;Work;,Renewable and Specific Affinity Reagents for Mapping Proteoforms in Human Tissues,"Narrative This activity focuses on measurements of the biologically active forms of proteins, complete with their post- translational modifications that decorate them in healthy human tissues. Renewable and highly validated reagents will be created and circulated into a Consortium of investigators to assist in mapping tissues in the human body with cellular and sub-cellular resolution.",NCI,9894469,11-SEP-2019,RFA-RM-19-002,1UH3CA246635-01,1,UH3,CA,246635,01,,"LI, JERRY",15-SEP-2019,31-AUG-2021,Special Emphasis Panel (ZRG1-BST-U (70)R),,1886884,"KELLEHER, NEIL L",Not Applicable,07,BIOCHEMISTRY,160079455,US,42.049695,-87.678657,6144601,NORTHWESTERN UNIVERSITY,Chicago,IL,SCHOOLS OF ARTS AND SCIENCES,60611-4579,UNITED STATES, ,15-SEP-2019,31-AUG-2020,310,Research Projects,2019,OD,477088,112912,590000,
No NIH Category available.,3-Dimensional;Anatomic Models;Anatomy;Atlases;Basic Science;Benign;Biological Assay;blastocyst;Cell Communication;cell community;Cells;Cellular biology;Cervical;Characteristics;Chromatin;Clinical;Complex;computational pipelines;cost;Data;data sharing;Deposition;digital;Discipline of obstetrics;Endometrial;Ensure;Equilibrium;Experimental Designs;female reproductive system;Fertility;Generations;Goals;Gynecologic;Gynecology;Health;Human Biology;Human BioMolecular Atlas Program;human female;Image;indexing;Individual;individual variation;Informatics;Information Systems;Location;Malignant Neoplasms;Mammalian Oviducts;Maps;Measurement;member;Metadata;Modeling;Molecular;molecular scale;multimodality;Operative Surgical Procedures;Organ;Organoids;Ovary;Pennsylvania;Physiological;Procedures;Process;programs;Prophylactic treatment;Protocols documentation;Quality Control;Radiology Specialty;Reagent;Records;Reproductive Health;Reproductive Medicine;Reproductive system;Research;Research Personnel;Research Subjects;Resources;Risk;RNA;Sampling;single molecule;single-cell RNA sequencing;Site;Sterilization;Structure;structured data;System;Therapeutic;Time;Tissue Sample;Tissues;transcriptomics;Transplantation;United States;Universities;Uterus;Women's Health;Work;,Penn Center for Multi-scale Molecular Mapping of the Female Reproductive System,We propose to create a comprehensive resource for women’s health by studying the molecular characteristics of individual cells in the female reproductive system. Our cellular atlas will uncover the complex interactions of cells that determine reproductive health and help with therapeutic strategies.,NICHD,10117836,24-SEP-2020,RFA-RM-20-002,1U54HD104392-01,1,U54,HD,104392,01,,"HALVORSON, LISA M",24-SEP-2020,31-AUG-2024,Special Emphasis Panel (ZRG1-BST-U (50)R),,6619530,"KIM, JUNHYONG  ","O'NEILL, KATHLEEN ELISE",03,BIOLOGY,042250712,US,39.952982,-75.192768,6463801,UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,SCHOOLS OF ARTS AND SCIENCES,19104-6205,UNITED STATES, ,24-SEP-2020,31-AUG-2021,865,Research Centers,2020,OD,468886,281115,750001,
No NIH Category available.,"Address;automated analysis;Automation;Biological;biological systems;Blood capillaries;Characteristics;Chemicals;Collaborations;Complex;Computer software;Data;data acquisition;Data Analyses;design;Detection;Development;Disease;Electrospray Ionization;Ensure;experimental study;Glass;Health;Histology;Human BioMolecular Atlas Program;human imaging;human tissue;Image;imaging capabilities;imaging modality;imaging platform;Imaging Techniques;innovation;interest;ionization technique;Ions;Label;Lipids;Liquid substance;Machine Learning;Maps;mass spectrometer;Mass Spectrum Analysis;Measurement;member;metabolomics;Microfluidics;Microscope;Molecular;molecular imaging;Mus;nano;nanoprobe;new technology;novel;Oligosaccharides;operation;Optics;Peptides;Performance;Pharmaceutical Preparations;Phase;Play;preservation;Process;Proteins;Proteomics;quantitative imaging;reconstruction;Research;Resolution;RNA;Role;Sampling;scale up;Sensitivity and Specificity;Slide;Solvents;Spatial Distribution;Spectrometry, Mass, Electrospray Ionization;Structure;Surface;Techniques;Technology;Time;Tissue Sample;Tissues;tool;United States National Institutes of Health;Validation;",Novel Platform for Quantitative Subcellular Resolution Imaging of Human Tissues Using Mass Spectrometry,"Project Narrative This research is focused on the development of a transformative technology for rapid, quantitative, and robust imaging of different classes of biomolecules in human tissues using mass spectrometry. This new technology will contribute to understanding complex processes in biological tissues that play a role in both health and disease.",NCI,10026443,17-JUL-2020,RFA-RM-17-025,4UH3CA255132-03,4,UH3,CA,255132,03,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-IMST-H (50)R),,11801673,"LASKIN, JULIA ",Not Applicable,04,CHEMISTRY,072051394,US,40.422539,-86.910425,1481402,PURDUE UNIVERSITY,WEST LAFAYETTE,IN,SCHOOLS OF ARTS AND SCIENCES,47907-2114,UNITED STATES, ,17-JUL-2020,30-JUN-2021,310,Research Projects,2020,OD,503644,126356,630000,
Bioengineering;Biomedical Imaging;Biotechnology,"Address;automated analysis;Automation;Biological;biological systems;Blood capillaries;Characteristics;Chemicals;Collaborations;Complex;Computer software;Data;data acquisition;Data Analyses;design;Detection;Development;Disease;Electrospray Ionization;Ensure;experimental study;Glass;Health;Histology;human imaging;human tissue;Image;imaging capabilities;imaging modality;imaging platform;Imaging Techniques;innovation;interest;ionization technique;Ions;Label;Lipids;Liquid substance;Machine Learning;Maps;mass spectrometer;Mass Spectrum Analysis;Measurement;member;metabolomics;Microfluidics;Microscope;Molecular;molecular imaging;Mus;nano;nanoprobe;new technology;novel;Oligosaccharides;operation;Optics;Peptides;Performance;Pharmaceutical Preparations;Phase;Play;preservation;Process;Proteins;Proteomics;quantitative imaging;reconstruction;Research;Resolution;RNA;Role;Sampling;scale up;Sensitivity and Specificity;Slide;Solvents;Spatial Distribution;Spectrometry, Mass, Electrospray Ionization;Structure;Surface;Techniques;Technology;Time;Tissue Sample;Tissues;tool;United States National Institutes of Health;Validation;",Novel Platform for Quantitative Subcellular Resolution Imaging of Human Tissues Using Mass Spectrometry,"Project Narrative This research is focused on the development of a transformative technology for rapid, quantitative, and robust imaging of different classes of biomolecules in human tissues using mass spectrometry. This new technology will contribute to understanding complex processes in biological tissues that play a role in both health and disease.",NHLBI,9782980,23-JUL-2019,RFA-RM-17-025,5UG3HL145593-02,5,UG3,HL,145593,02,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,11801673,"LASKIN, JULIA ",Not Applicable,04,CHEMISTRY,072051394,US,40.422539,-86.910425,1481402,PURDUE UNIVERSITY,WEST LAFAYETTE,IN,SCHOOLS OF ARTS AND SCIENCES,47907-2114,UNITED STATES, ,1-JUL-2019,30-JUN-2020,310,Research Projects,2019,OD,275332,125010,375000,
Bioengineering;Biomedical Imaging;Biotechnology,"Address;Automation;Biological;biological systems;Blood capillaries;Characteristics;Chemicals;Collaborations;Complex;Computer software;Data;data acquisition;Data Analyses;design;Detection;Development;Disease;Electrospray Ionization;Ensure;experimental study;Glass;Health;Histology;human imaging;human tissue;Image;imaging capabilities;imaging modality;imaging platform;Imaging Techniques;innovation;interest;ionization technique;Ions;Label;Lipids;Liquid substance;Machine Learning;Maps;mass spectrometer;Mass Spectrum Analysis;Measurement;member;metabolomics;Microfluidics;Microscope;Molecular;molecular imaging;Mus;nano;nanoprobe;new technology;novel;Oligosaccharides;operation;Optics;Peptides;Performance;Pharmaceutical Preparations;Phase;Play;Process;Proteins;Proteomics;quantitative imaging;reconstruction;Research;Resolution;Role;Sampling;scale up;Sensitivity and Specificity;Slide;Solvents;Spatial Distribution;Spectrometry, Mass, Electrospray Ionization;Structure;Surface;Techniques;Technology;Time;Tissue Sample;Tissues;tool;United States National Institutes of Health;Validation;",Novel Platform for Quantitative Subcellular Resolution Imaging of Human Tissues Using Mass Spectrometry,"Project Narrative This research is focused on the development of a transformative technology for rapid, quantitative, and robust imaging of different classes of biomolecules in human tissues using mass spectrometry. This new technology will contribute to understanding complex processes in biological tissues that play a role in both health and disease.",NHLBI,9659552,11-SEP-2018,RFA-RM-17-025,1UG3HL145593-01,1,UG3,HL,145593,01,,"SRINIVAS, POTHUR R",15-SEP-2018,30-JUN-2020,Special Emphasis Panel (ZRG1-IMST-H (50)R),,11801673,"LASKIN, JULIA ",Not Applicable,04,CHEMISTRY,072051394,US,40.422539,-86.910425,1481402,PURDUE UNIVERSITY,WEST LAFAYETTE,IN,SCHOOLS OF ARTS AND SCIENCES,47907-2114,UNITED STATES, ,15-SEP-2018,30-JUN-2019,310,Research Projects,2018,OD,249990,125010,375000,
